SPORE,Total solar capacity ,Battery storage,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
224,0.302751388,0.001,1,0.536863102,0.21278477,0.22193747
225,0.228999865,0.061,1,0.97364813,0.294995923,0.452121373
226,0.188065906,0.049,0.999617616,0.889001685,0.450643412,0.598779288
227,0.230514521,0.042,1,0.953438101,0.4058878,0.507565026
228,0.211502473,0.061,1,0.952533233,0.332208284,0.505171671
229,0.197405493,0.053,1,0.999260877,0.384725219,0.512215613
230,0.24722512,0.078,1,0.997941772,0.435502252,0.585097743
231,0.051093786,0.209,0.992855119,0.749569039,0.403830772,0.557604857
232,0.180671004,0.048,1,0.999129209,0.383110894,0.521180179
233,0.242829271,0.053,1,0.95143362,0.347574393,0.465607862
234,0.176130219,0.066,1,0.994755361,0.348764699,0.539768759
235,0.218943563,0.092,1,0.990567671,0.38002656,0.528521728
236,0.167470714,0.088,1,0.930832185,0.352660635,0.493858501
237,0.189628344,0.04,1,0.968335223,0.349922216,0.485718892
238,0.224946445,0.063,1,0.960416808,0.382076626,0.502143124
239,0.213020315,0.044,1,0.975005184,0.365545063,0.492248586
240,0.207388531,0.078,1,0.983156975,0.362719774,0.553149659
241,0.244861555,0.046,1,0.947879703,0.407908204,0.515843568
242,0.19232319,0.054,1,0.959776801,0.379111184,0.505986363
243,0.228214664,0.053,1,0.974924269,0.362208134,0.511075515
244,0.329107372,0.158,1,0.803691897,0.370256092,0.386997201
245,0.228214664,0.053,1,0.974952023,0.347250067,0.511003402
246,0.482444475,0.216,1,0.792025112,0.423603986,0.447291071
247,0.215995477,0.07,1,0.985233925,0.351870064,0.492958521
248,0.622568546,0.346,1,0.745922314,0.304147686,0.411113479
249,0.429004643,0.536,0.98589364,0.723283815,0.274989833,0.468294666
250,0.407828116,0.117,1,0.987551955,0.452964242,0.547127702
251,0.247261752,0.044,1,0.951591198,0.441711947,0.501282289
252,0.372290222,0.114,1,0.992641866,0.355733098,0.682720495
253,0.30736703,0.063,1,0.959802565,0.330941967,0.613511994
254,0.409392146,0.248,1,0.697763973,0.423342937,0.397208796
255,0.396019845,0,1,0.943979122,0.450143561,0.560032543
256,0.373554825,0.005,0.999998188,0.107258801,0.464405446,0.509524116
257,0.23148129,0.048,1,0.950748256,0.348602494,0.510403923
258,0.176197112,0.093,1,0.990688419,0.364647581,0.50772094
259,0.197601395,0.066,1,0.938947585,0.363016786,0.470360681
260,0.212835562,0.081,1,0.997185559,0.343381394,0.547354228
261,0.241056597,0.049,1,0.943335214,0.338498357,0.488480171
262,0.435152461,0.693,0.987523329,0.696417152,0.286161239,0.517489374
263,1.00E+00,1,1,0.633269573,0.272410136,0.404352501
264,0.27913166,0.004,1,0.588824801,0.261822371,0.254444791
265,0.22732116,0.077,1,0.995493463,0.352039951,0.538149585
266,0.194949551,0.256,1,0.959288003,0.429514841,0.481393402
267,0.175448544,0.093,1,0.980329229,0.340050703,0.503150742
268,0.218529461,0.107,1,0.999039606,0.372664982,0.549900989
269,0.248773224,0.055,1,0.9304551,0.327583021,0.449881952
270,0.213326113,0.052,1,0.999145887,0.337732357,0.532844476
271,0.173354145,0.057,1,0.959900884,0.34321812,0.509402145
272,0.204078902,0.054,1,0.948091825,0.369530895,0.491799038
273,0.352500936,0.098,1,0.829579968,0.329956964,0.430158999
274,0.258041139,0.646,0.999953772,0.997731878,0.452748605,0.840672746
275,0.204383108,0.047,1,0.971966374,0.351710414,0.513820732
276,0.176531579,0.094,1,0.99370452,0.365069647,0.50861816
277,0.177482421,0.053,1,0.959386887,0.345051625,0.499331277
278,0.274047765,0.001,0.999998938,0.21963219,0.410446998,0.431568948
279,0.212056732,0.051,1,0.974054908,0.356054106,0.514154707
280,0.241864095,0.048,1,0.989594707,0.419920374,0.522002861
281,0.211470619,0.061,1,0.952527946,0.355897115,0.505060564
282,0.230583007,0.056,1,0.95892366,0.35373388,0.493314677
283,0.269495831,0.152,0.654734058,0.890247744,0.413700586,0.550897278
284,0.407832894,0.117,1,0.987506426,0.459220564,0.5471199
285,0.317874065,0.122,1,0.813068135,0.357034887,0.412836704
286,0.249622132,0,1,0.947856359,0.406409626,0.515897279
287,0.314846344,0.088,1,0.9992036,0.438333287,0.606984617
288,0.253422312,0.002,0.999998979,0.311827507,0.344510674,0.366232026
289,0.212053547,0.051,1,0.974060728,0.341667893,0.514134344
290,0.175083816,0,1,0.919932448,0.37741981,0.477808397
291,0.197575912,0.066,1,0.938944406,0.342924305,0.470284949
292,0.404717575,0,1,0.986651768,0.468344975,0.555673027
293,0.209046531,0.053,1,0.999237504,0.365764578,0.501588479
294,0.241758977,0.049,1,0.984799248,0.418680968,0.507678391
295,0.211470619,0.061,1,0.952527946,0.355897115,0.505060564
296,0.244877482,0.046,1,0.947934784,0.408147952,0.515869397
297,0.320678808,0.01,1,0.533638762,0.264924827,0.337861339
298,0.245393516,0.043,1,0.996908941,0.440998564,0.524999879
299,0.184708496,0.045,1,0.929084209,0.365564136,0.50432481
300,0.343325396,0.106,1,0.845478071,0.328978112,0.416083767
301,0.430890398,0.433,0.985726396,0.714105142,0.273954874,0.466202453
302,0.220776759,0.069,1,0.990473858,0.388279858,0.524705545
303,0.407834487,0.117,1,0.987510946,0.452940353,0.547122047
304,0.171659513,0.148,1,0.920015762,0.329726364,0.478212998
305,0.206198785,0,1,0.969542959,0.378585944,0.530507789
306,0.480289553,0.399,1,0.66295547,0.379233327,0.370378917
307,0.464641284,0.518,0.991186367,0.725061127,0.262030732,0.486624962
308,0.336793738,0.039,1,0.956486223,0.332378718,0.565498487
309,0.251079452,0.01,1,0.453890124,0.252205422,0.306472592
310,0.407828116,0.117,1,0.987551955,0.452964242,0.547127702
311,0.464740032,0.028,0.950197683,0.057309369,0.35223427,0.450030202
312,0.204841805,0,1,0.921902313,0.420679213,0.485402851
313,0.201701003,0.216,1,0.918095256,0.34140742,0.450106134
314,0.176531579,0.094,1,0.99370452,0.365069647,0.50861816
315,0.407829709,0.117,1,0.987543132,0.453102021,0.547125012
316,0.319546399,0.059,1,0.958667494,0.361534659,0.510596672
317,0.220424773,0.013,1,0.448672383,0.313806626,0.366264778
318,0.22013968,0.054,1,0.960535538,0.366063118,0.536330365
319,0.176729074,0,1,0.993487678,0.35795528,0.505381988
320,0.407828116,0.117,1,0.987551955,0.452964242,0.547127702
321,0.218771551,0.055,1,0.926996825,0.372681886,0.464686085
322,0.430890398,0.433,0.985726396,0.714105142,0.273954874,0.466202453
323,0.326165657,0.264,0.999879782,0.993717286,0.945767729,0.99851035
324,0.298858831,0.39,0.999877314,0.99894794,0.77629693,0.905186639
325,0.306492638,0.751,0.991790304,0.998151883,0.441148447,0.900127145
326,0.470308108,0.429,0.992573517,0.771734564,0.327851484,0.585957479
327,0.342138836,0.1,1,0.99883855,0.615220367,0.823563376
328,0.311140134,0.428,0.999870562,0.997983667,0.860235061,0.899417991
329,0.338607822,0.92,1,0.99942952,0.716973787,0.914705693
330,0.298210603,0.704,0.99438081,0.998312011,0.375768072,0.830151714
331,0.316706617,0.7,0.999363039,0.998211456,0.845914073,1
332,0.307325619,0.432,0.998942995,0.99732464,0.681130624,0.927569444
333,0.303963432,0.68,0.99514418,0.996060164,0.49896542,0.888624201
334,0.367808366,0.137,1,0.990181785,0.777622158,0.842383988
335,0.314760339,0.448,0.997944503,0.99770818,0.815326232,0.931205681
336,0.290812515,0.72,0.993342522,0.998136505,0.437136929,0.860592056
337,0.300919784,0.65,0.995825637,0.998860229,0.537207506,0.873834177
338,0.306236213,0.517,0.994735145,0.99757617,0.489242245,0.86547944
339,0.290328335,0.476,0.9995769,0.996388026,0.78487609,0.969141042
340,0.298146895,0.386,0.999791103,0.998616779,0.643344864,0.842666071
341,0.320377788,0.486,0.999877881,0.993131562,0.774463452,0.998842212
342,0.505022577,0.541,0.9932845,0.584665027,0.000630521,1.52E-07
343,0.505223257,0.541,0.993160726,0.587120629,0.004364882,6.55E-08
344,0.505221664,0.551,0.993412698,0.586425638,0.002480122,8.76E-06
345,0.507526299,0.572,0.99294397,0.580446771,0.004732039,8.80E-05
346,0.5049302,0.541,0.993146798,0.586067713,0.002779122,6.52E-06
347,0.50533156,0.544,0.993160814,0.585612398,0.001596274,1.65E-05
348,0.504882419,0.546,0.993063636,0.586677457,0.002990297,1.89E-05
349,0.504880826,0.543,0.993212474,0.586235596,0.006004658,1.80E-07
350,0.504578213,0.54,0.993209733,0.587308363,0.001785414,3.44E-06
351,0.504845787,0.539,0.993098268,0.586248493,0.002203611,3.11E-05
352,0.505084692,0.541,0.993167492,0.586510658,0.001625195,2.08E-05
353,0.50369108,0.559,0.992864873,0.583013595,0.004299413,3.77E-05
354,0.505374563,0.546,0.993294084,0.586741882,0.004650301,1.17E-07
355,0.505205737,0.539,0.993224144,0.585894359,0.004401151,5.15E-11
356,0.50428675,0.562,0.99298381,0.582376863,0.003437805,2.51E-05
357,0.505103804,0.536,0.993142841,0.584584958,0.003831845,7.31E-06
358,0.504689702,0.537,0.99318402,0.586651062,0.003135968,1.13E-06
359,0.504501764,0.542,0.993288643,0.587331416,0.003439056,4.82E-07
360,0.504807562,0.545,0.993221514,0.587025156,6.95E-12,8.10E-09
361,0.504597326,0.538,0.99324159,0.58664444,0.001045606,1.42E-05
362,0.505204144,0.542,0.993422762,0.586579726,0.000929672,3.71E-07
363,0.505476496,0.548,0.993189927,0.584524759,0.000944973,7.39E-06
364,0.503925207,0.563,0.992942787,0.583346888,0.004004267,3.64E-08
365,0.504568657,0.546,0.993297405,0.587839277,0.002615207,2.48E-06
366,0.208831516,0.011,1,0.70762309,0.268705575,0.221098519
367,0.260917554,0.004,1,0.669219792,0.248173193,0.235245837
368,0.252877609,0.006,1,0.694378304,0.257928938,0.227551317
369,0.390368949,0.04,1,0.639688017,0.316951696,0.340426891
370,0.241571038,0.011,1,0.677448116,0.260478834,0.244650556
371,0.301126835,0.023,1,0.649570889,0.250583673,0.269004731
372,0.196344756,0.003,1,0.718939049,0.2593178,0.218700893
373,0.230355252,0.011,1,0.672978978,0.267731799,0.209295175
374,0.202949679,0.006,1,0.709500195,0.244624291,0.21692866
375,0.23976014,0.007,1,0.683137903,0.253877917,0.22934097
376,0.213262405,0.014,1,0.710269001,0.238446078,0.211463103
377,0.296038161,0.034,1,0.601394889,0.29470034,0.256281616
378,0.29033152,0.029,1,0.667557336,0.272683141,0.214845381
379,0.208847443,0.018,1,0.700652276,0.257920013,0.208506488
380,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
381,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
382,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
383,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
384,0.427795784,0.533,0.98799947,0.711603036,0.284165094,0.506832491
385,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
386,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
387,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
388,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
389,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
390,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
391,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
392,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
393,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
394,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
395,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
396,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
397,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
398,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
399,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
400,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
401,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
402,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
403,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
404,0.418288963,0,0.986475671,0.712708126,0.305964088,0.551813561
405,0.202898712,0.074,1,0.769359623,0.358527551,0.377256295
406,0.240164685,0.097,1,0.799924102,0.387078307,0.46645665
407,0.246790313,0.066,1,0.762843709,0.270073111,0.380260696
408,0.393267661,0.126,1,0.72462745,0.472383983,0.495110365
409,0.279802187,0.073,1,0.782185907,0.328371281,0.419156929
410,0.230973219,0.053,1,0.798789423,0.311242871,0.409458485
411,0.175443766,0.049,1,0.75522227,0.28940171,0.446821302
412,0.226426063,0.052,1,0.804272752,0.366305941,0.373277006
413,0.222469798,0.048,1,0.751488812,0.329204861,0.381013308
414,0.244988971,0.073,1,0.784542262,0.352367788,0.404123406
415,0.243745073,0.073,1,0.757515254,0.318241856,0.414826914
416,0.209078385,0.054,1,0.781299378,0.331142163,0.387788669
417,0.157535457,0.078,1,0.75282333,0.403883831,0.467652019
418,0.205120528,0.051,1,0.785253362,0.281814507,0.444322768
419,0.24202655,0.072,1,0.801613018,0.286541964,0.352432445
420,0.229327961,0.06,1,0.782182942,0.343214449,0.410003217
421,0.314351015,0.216,0.668424619,0.843132499,0.33473876,0.603320535
422,0.310088952,0.152,0.679830225,0.836043606,0.335701322,0.611499454
423,0.320492463,0.164,0.583513171,0.926037877,0.298151927,0.5932523
424,0.311488935,0.206,0.663913729,0.855018474,0.310760706,0.588756544
425,0.309345162,0.206,0.656597943,0.868211805,0.345278075,0.603053673
426,0.308024814,0.145,0.679317542,0.840819087,0.334941773,0.615258185
427,0.309513988,0.15,0.68832062,0.841249338,0.370392449,0.627443235
428,0.314166262,0.205,0.674048278,0.839942494,0.329018051,0.587676718
429,0.312673903,0.117,0.711695495,0.822123595,0.394728866,0.598964551
430,0.312559228,0.189,0.674819735,0.835750092,0.350526944,0.608269108
431,0.456685753,0.004,0.999998752,0.529494036,0.242725451,0.417084662
432,0.47828753,0.035,0.999589604,0.403071529,0.265301448,0.44105686
433,0.464410343,0.19,0.996698204,0.501866291,0.292581796,0.519436548
434,0.4693063,0.038,0.999998806,0.447804535,0.269789868,0.476505067
435,0.44966832,0.033,1,0.573599007,0.22600349,0.469820133
436,0.468153186,0.013,0.999998667,0.489526746,0.249299416,0.439676941
437,0.482641969,0.004,0.999997463,0.401739301,0.260527024,0.412753634
438,0.476621567,0.004,0.999998768,0.353615481,0.267262858,0.376893392
439,0.489477834,0.044,0.999998983,0.339036751,0.236558107,0.468202879
440,0.481001489,0.004,0.999999021,0.399804699,0.252056497,0.432823397
