SPORES,wind_onshore,wind_offshore,roof_mounted_pv,open_field_pv,biofuel_supply,waste_supply,electrolysis,battery,heat_storage_big,heat_storage_small,hydrogen_storage
217,2712.85,0.07,0.09,3037.65,908.2676103,46.34,541.11,0.26,1212.28,3342.25,5.77
218,1914.4,1173.79,253.51,982.41,368.1161365,28.2,418.25,12.93,78.48,1887.68,2.96
219,1627.05,1425.53,36.51,1345.67,129.672761,28.21,447.16,12.03,96.95,1366.7,3.6
220,1745.39,1344.19,27.29,1510.21,146.416796,28.2,450.24,10.22,87.62,1652.18,3.24
221,1944.39,1262.87,33.13,1081.17,123.2141184,28.21,465.27,11.63,96.87,1540.79,4.77
222,3095.11,29.13,56.64,2648.77,925.7953101,34.84,518.6,96.15,782.85,3738.18,2831.05
223,2266.12,1158.33,0,1105.86,57.25812358,28.19,456.94,14.73,70.41,1397.17,1.55
224,1737.71,819.67,58.16,1842.71,875.4827762,28.74,449.06,0.15,1083.69,3857.8,3.63
225,1522.76,1246.5,92.63,1345.18,551.7081799,28.23,354.66,13.61,100.15,1813.21,7.14
226,2059.43,1058.88,16.35,1164.45,371.1157307,28.24,451.36,10.84,98.37,1237.34,5.72
227,1818.8,1302.27,0,1447.32,137.3646086,28.21,452.08,9.29,106.15,1636.92,4.72
228,1725.67,1366.37,34.07,1293.88,134.520613,28.21,449.11,13.52,111.85,1762.91,5.62
229,2026.98,1256.97,14.22,1225.22,46.88104442,28.23,465.53,11.68,67.73,2063.85,6.01
230,1802.92,1070.97,4.91,1547.33,551.199102,28.23,308.4,17.27,68.26,1823.07,7.63
231,3842.15,21.42,320.8,0,979.1719406,32.59,495.38,46.43,385,2167.55,1705.54
232,1985.44,1282.33,35.57,1098.8,46.99216318,28.23,469.41,10.67,67.7,1864.8,4.5
233,1740.78,1264.07,126.04,1398.6,260.4754587,28.21,430.12,11.78,99.3,1299.77,5.03
234,2266.12,1158.33,0,1105.86,57.25812358,28.19,456.94,14.73,70.41,1397.17,1.55
235,1943,978.2,188.66,1186.01,551.3461952,28.22,332.19,20.33,72.81,1722.99,5.53
236,2159.3,1065.24,0.09,1051.4,407.4613197,28.19,428.3,19.5,80.06,1126.84,2.04
237,1974.24,1171.02,0,1190.61,297.5842424,28.21,428.19,8.9,97.17,1541.89,5.1
238,1589.07,1171.52,28.17,1384.19,551.6543852,28.22,335.86,13.9,103.18,1885.36,5.63
239,1853.01,1267.26,0,1337.48,246.7571265,28.21,423.6,9.75,84.21,1593.53,4.14
240,1882.41,992.53,201.82,1100.3,551.4808835,28.22,337.34,17.24,81.2,1711.16,6.47
241,1745.29,1344.3,27.28,1510.12,146.3959413,28.2,450.24,10.2,87.62,1651.97,2.71
242,1824.79,1283.08,42.06,1165.47,235.9365982,28.21,436.24,12.03,79.13,1437.28,4.24
243,1920.41,1151.2,255.39,1177.49,251.2225318,28.2,430.17,11.66,83.41,1695.25,3.82
244,488.28,1746.46,0.03,2066.32,678.560876,28.21,407.68,35.06,243.11,1101.01,2.39
245,1920.28,1151.28,255.42,1177.46,251.1872166,28.2,430.17,11.67,83.43,1695.23,3.76
246,649.68,1206.43,0.14,3028.96,692.0172564,28.24,460.77,47.96,408.07,789.35,5.92
247,1582.48,1219.42,67.21,1288.95,551.4774192,28.23,351.72,15.45,83.42,1778.68,5.56
248,675.75,923.1,0.09,3908.8,751.1630539,28.24,551.62,76.82,496.18,814.61,4.99
249,3097.72,31.17,0,2693.57,876.8131596,34.2,518.03,118.99,779.1,4260.15,2778.67
250,2245.25,968.82,53.25,2507.36,63.34330376,28.18,461.8,25.91,70.79,1885.23,0.17
251,1784.64,1297.38,73.89,1478.58,153.2657899,28.21,447.86,9.77,96.81,1526.98,4.92
252,3881.96,0,368.18,1969.3,57.6581338,28.22,474.89,25.26,71.75,1386.59,4.91
253,3370.79,2.68,339.19,1590.66,506.8982647,28.29,393.5,13.87,114.58,1180.37,16.99
254,194.48,1920.06,0,2570.43,1210.426402,28.18,434.19,55.03,85.28,994.06,0.65
255,2328.24,939.02,53.93,2432.54,87.91933417,28.18,468.44,0,0,0,0
256,3328.79,242.65,0.08,2345.34,1525.732712,28.19,736.3,1.1,88.67,565.31,6.59
257,1885.16,1137.49,232.51,1220.88,331.9438428,28.21,421.38,10.71,103.25,1350.39,3.64
258,2276.04,1148.33,0.07,1106.21,59.46080935,28.19,463.09,20.53,70.9,1321,1.91
259,1957.47,1168.07,256.51,984.16,324.7766279,28.2,425.1,14.61,77.23,1857.48,2.6
260,1870.8,1048.13,196.18,1140.14,551.1835385,28.22,340.34,17.9,69.1,1842.31,5.82
261,1895.44,1175.2,327.67,1185.84,151.4291401,28.22,451.17,10.9,131.94,1460.47,5.95
262,3073.93,33.75,54.08,2678.09,997.6273246,34.48,517.92,153.72,965.63,0,3209.1
263,1071.62,106.03,0,6278.65,1206.967134,28.21,854.58,221.88,433.24,591.97,134.49
264,1507.51,1020.2,106.66,1645.91,821.481204,28.48,437.96,0.9,984.44,2707.99,5.99
265,1989.28,961.8,145.52,1281.75,551.3046611,28.22,321.24,17.18,69.51,2063.1,5.33
266,1929.34,1259.68,0.3,1223.72,119.2439495,28.2,461.05,56.9,105.73,0.17,3.05
267,2262.45,1152.65,0.07,1101.51,72.63778271,28.19,463.2,20.53,71.33,1258.23,0
268,2135.72,900.43,9.99,1362.08,551.1834294,28.25,305.11,23.83,67.37,1410.35,7.71
269,1707.34,1211.2,161.54,1400.42,435.6252874,28.2,406.25,12.17,86.55,1389.68,3.11
270,2021.99,1227.3,212.2,1127.2,46.98892307,28.22,458.72,11.47,67.7,1928.98,4.94
271,2026.95,1115.44,101.66,986.77,301.0874072,28.21,440.87,12.69,101.36,1699.25,4.97
272,1731.14,1202.59,49.2,1232.14,459.2301413,28.2,402.7,12.09,1.07,2120.43,5.68
273,933.03,1269.82,135.22,2078.01,608.3725698,28.24,395.3,21.7,344.07,1033.59,6.89
274,3170.23,69.58,3.32,1616.83,555.2906595,32.44,291.16,143.38,86.33,2155.16,305.63
275,1921.03,1121.36,206.8,1076.45,374.7357198,28.18,416,10.46,0,1740.21,1.88
276,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
277,1944.66,1262.81,33.12,1081.23,123.0202354,28.21,465.29,11.65,96.81,1540.98,5.65
278,2519.11,761.15,0.15,1720.5,1342.577283,28.23,652.76,0.2,185,1223.43,4.53
279,1917.99,1174.72,198.97,1132.46,255.2391875,28.2,433.48,11.24,82.54,1702.94,3.98
280,1559.02,1221.87,94.79,1423.79,551.2137946,28.23,349.28,10.64,77.52,1763.52,6.29
281,1725.5,1366.52,34.12,1293.63,134.5332225,28.21,449.1,13.45,111.9,1762.93,3.57
282,2061.15,1199.55,0,1447.75,124.3412645,28.2,466.39,12.36,79.29,1630.67,3.71
283,3151.65,186.42,0.06,1692.01,697.6554061,28.2,487.87,33.83,69.9,1080.01,3.24
284,2245.36,968.7,53.26,2507.38,63.42325361,28.18,461.8,25.94,70.75,1884.82,0
285,524.81,1725.31,0.07,1995.75,647.7531367,28.21,404.56,27.02,245.97,1223.5,3.01
286,1781.54,1317.23,31.29,1536,147.6567925,28.2,450.2,0,86.82,2003.26,3.04
287,2306.73,732.71,0.21,1976.6,551.2261135,28.23,311.78,19.56,67.74,1995.07,46.17
288,2340.02,844.91,33.55,1557.6,1197.360641,28.25,616.02,0.48,276.24,1435.57,5.1
289,1917.99,1174.72,199.06,1132.35,255.2281168,28.2,433.48,11.23,82.56,1702.88,3.9
290,2238.03,980.45,0,1099.29,476.5531438,28.18,420.56,0,0,0,0
291,1957.35,1168.08,256.44,984.07,324.9707032,28.2,425.07,14.59,77.24,1856.99,3.31
292,2282.96,956.25,46.18,2494.9,64.66869174,28.18,461.11,0,71.05,2078.51,0.14
293,2096.15,1224.17,210.05,1102.48,46.88067177,28.23,457.54,11.83,67.76,2137.87,3.83
294,1817.79,1063.57,66.27,1451.65,551.3749939,28.22,327.77,10.94,78.76,1928.73,5.85
295,1725.5,1366.52,34.12,1293.63,134.5332225,28.21,449.1,13.45,111.9,1762.93,3.57
296,1745.39,1344.19,27.29,1510.21,146.416796,28.2,450.24,10.22,87.62,1652.18,3.24
297,1815.58,748.9,0.27,2013.16,883.5325108,28.87,444.78,2.12,1079.8,4002.03,5.62
298,1850.33,1064.03,105.23,1435.51,551.1897842,28.22,337.37,9.54,69.38,2028.68,6.64
299,1828.48,1315.75,0,1159.72,254.89079,28.2,437.84,9.92,81.09,1604.3,3.14
300,1063.19,1206.23,278.97,1876.65,583.8408619,28.24,393.1,23.6,314.73,1063.76,7.34
301,3095.11,29.13,56.64,2648.77,925.7953101,34.84,518.6,96.15,782.85,3738.18,2831.05
302,1780.69,1054.77,107.43,1278.75,551.3770477,28.23,320.73,15.4,75.21,1881.95,7.8
303,2245.36,968.7,53.26,2507.39,63.42250603,28.18,461.8,25.92,70.76,1884.92,0.55
304,2094.53,1085.93,0.07,1077.72,421.2917921,28.18,424.22,32.88,82.44,0,1.09
305,1985.51,1131.21,257.18,1037.47,269.4613559,28.2,433.27,0,83.06,1658.13,3.67
306,128.64,1870.65,0,3015.57,1405.296957,28.18,453.67,88.63,77.61,859.42,0.19
307,3044.12,36.22,43.73,2873.59,965.6882022,33.52,506.82,114.89,686.79,3987.47,2440.38
308,3326.41,11.12,335.28,1779.33,508.3810189,28.32,396.03,8.68,115.58,1480.99,20.66
309,1885.64,1057.45,179.95,1396.49,800.5507133,28.26,538.15,2.32,404.41,1991.09,6.57
310,2245.25,968.82,53.25,2507.36,63.34330376,28.18,461.8,25.91,70.79,1885.23,0.17
311,3552.79,28.66,0.07,2917.87,1532.642181,28.19,800.32,6.29,74.77,82.37,29.8
312,1971.04,1110.1,173.95,1112.18,390.8885907,28.18,420.43,0,0.03,0.07,0
313,1994.52,1100.23,236.07,1030.34,396.7113879,28.19,416.44,47.99,88.18,0.08,2.3
314,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
315,2245.27,968.8,53.26,2507.36,63.36128678,28.18,461.8,25.92,70.78,1885,0.25
316,2459.5,502.83,424.93,1581.39,508.5370003,28.28,387.26,13.07,111.77,1154.37,17.03
317,2206.91,888.83,26.96,1357.01,980.8821156,28.27,558.87,2.81,384.62,2016.08,3.54
318,1627.05,1425.53,36.51,1345.67,129.672761,28.21,447.16,12.03,96.95,1366.7,3.6
319,2249.79,1164.51,0.07,1109.55,56.27545629,28.19,463.53,0,70.82,1441.56,1.62
320,2245.25,968.82,53.25,2507.36,63.34330376,28.18,461.8,25.91,70.79,1885.23,0.17
321,1747.59,1219.04,165.42,1208.17,462.269853,28.2,400.43,12.14,82.18,1526.79,3.12
322,3095.11,29.13,56.64,2648.77,925.7953101,34.84,518.6,96.15,782.85,3738.18,2831.05
323,3363.78,92.87,0.23,2047.65,557.0870114,28.26,335.13,58.67,71.32,1148.79,10.74
324,3444.7,101.09,0.4,1876.03,551.8751693,28.32,327.92,86.43,66.2,1197.14,18.96
325,3432.22,1.21,0.48,1923.88,552.5305445,28.49,319.07,166.66,65.42,1154.59,20.56
326,3165.4,24.43,36.4,2916.5,860.7591796,33.75,483.44,95.25,482.13,3001.77,1725.57
327,3203.27,185.75,0.14,2148.03,551.6621489,28.23,317.63,22.2,68.12,1125.06,7.08
328,3356.7,133.11,0.36,1953.18,552.2303402,28.3,330.27,94.93,65.8,1176.06,25.04
329,3110.5,110.86,0.36,2125.64,551.6867173,28.64,295.91,204.1,66.54,1061.95,20.3
330,3257.71,131.68,0.54,1871.82,552.4233065,28.43,299.53,156.15,65.41,1250.92,23.83
331,3413.86,29.58,0.43,1988.06,552.3772844,28.41,324.7,155.29,65.58,1130.53,18.52
332,3256.61,156.83,0.37,1929.22,552.9297842,28.3,300.79,95.83,66.31,1184.1,20.89
333,3426.28,14.76,0.43,1908.05,556.0625179,28.39,315.81,150.81,66.33,1219.64,21.33
334,3286.71,95.41,0.09,2309.25,570.36854,28.22,327.72,30.31,69.35,1200.67,4.81
335,3369.28,87.17,0.33,1975.94,552.4311638,28.3,308.28,99.4,66.34,1183.46,25.89
336,3488.31,8.62,0.68,1825.23,552.2152603,30.88,300.71,159.66,65.41,1245.77,28.37
337,3318.92,143.66,0.61,1888.76,552.030241,29.04,327.41,144.27,65.8,1229.59,28.36
338,3267.13,147.58,0.4,1922.35,552.6868388,28.32,311.5,114.8,65.29,1237.42,18.32
339,3395.81,87.19,0.47,1822.4,554.5572049,28.45,326.77,105.69,63.75,1229.4,24.15
340,3329.88,143.6,0.38,1871.58,551.9191998,28.31,300.25,85.56,66.01,1199.65,17.93
341,3376.06,77.61,0.31,2011.23,558.0732666,28.27,331.23,107.9,70.46,1164.51,14.67
342,3039.63,62,31.51,3139.35,1073.950902,34.03,593.43,120.05,543.06,3036.22,1396.99
343,3042.4,64.37,32.38,3139.74,1066.90166,34.13,594.72,120.13,521.34,2900.59,1304.28
344,3039.3,62.51,30.83,3141.28,1069.970176,33.9,593.44,122.26,552.99,3005.74,1439.07
345,3050.38,61.63,31.25,3155.33,1078.622703,34.13,598.56,126.87,505.57,2688.43,1314.2
346,3041.44,63.13,32.36,3137.92,1073.674883,34.11,593.96,120.05,528.46,2909.34,1340.01
347,3042.84,61.96,31.63,3141.17,1069.521795,34.08,594.48,120.66,534.89,2924.75,1358.57
348,3042.89,61.82,30.93,3139.05,1067.604251,33.96,594.08,121.06,545.49,2926.09,1445.73
349,3042.08,63.34,32.01,3137.96,1069.454743,34.08,594.37,120.39,530.03,2922.23,1339.81
350,3044.79,62.25,31,3137.07,1068.324747,34.03,594.18,119.81,529.94,2964.94,1360.96
351,3039.7,64.01,32.08,3137.67,1075.505411,34.13,593.5,119.55,518.1,2928.08,1292.87
352,3040.94,63.72,32.82,3138.43,1071.771816,34.07,594.08,119.99,520.29,2911.64,1297.29
353,3039.13,58.91,28.67,3133.83,1078.404118,34.14,591.97,123.96,620.36,3158.41,1876.26
354,3040.43,63.25,31.41,3141.66,1069.804966,34.03,593.77,121.13,539.05,2980.24,1378.73
355,3040.23,62.71,31.78,3140.23,1072.119962,34.05,593.61,119.67,531.66,2966.8,1345.6
356,3036.83,59.53,29.65,3136.59,1076.568201,34.07,592.3,124.73,631.01,3198.6,1923.01
357,3042.43,61.64,32.45,3138.92,1073.85029,34.11,594.13,119.01,525.22,2929.5,1308.15
358,3043.76,62.21,31.35,3137.42,1070.324004,34.12,593.87,119.06,524.26,2952.8,1319.45
359,3044.97,62.71,31.93,3135.66,1066.210244,34,594.24,120.35,531.36,2978.23,1380.01
360,3044.05,62.64,30.9,3138.61,1066.785015,34.03,594.32,120.88,535.37,2960.9,1390.2
361,3043.45,63,31.5,3136.69,1070.216409,34.06,594.06,119.31,520.51,2968.11,1318.45
362,3036.63,63.46,31.18,3140.82,1071.642678,33.96,592.58,120.2,546.32,3104.02,1416.84
363,3039.91,62.67,31.68,3142.03,1074.673186,34.04,594.45,121.54,543.57,2920.04,1384.13
364,3039.27,59.67,28.87,3135.1,1076.239041,34.09,592.35,124.86,625.43,3136.22,1906.82
365,3046.15,61.81,31.93,3136.08,1065.056272,34.05,594.28,121.14,533.94,2962.15,1397.63
366,1964.62,947.13,136.01,1175.17,922.4680796,28.58,429.93,2.35,215.1,95.92,0.61
367,2172.76,878.28,0.37,1637.84,1095.343674,28.46,446.61,0.78,192.88,89.38,0.28
368,2285.32,747.47,53.36,1534.37,987.7057032,28.6,451.38,1.36,213.49,91.02,0.42
369,2394.95,720.97,0,2450.99,1385.33717,28.4,489.32,8.86,92.38,103.24,0.03
370,2116.68,909.53,89.49,1427.25,1049.367732,28.66,435.89,2.42,199.6,83.36,0.35
371,2410.01,737.53,0.08,1890.59,1133.887041,28.29,452.52,5.2,197.15,113.21,0.1
372,1888.3,997.36,51.04,1181.74,905.9204185,28.64,421.14,0.61,211.48,98,0.71
373,1992.45,954.31,32,1414.32,1031.834825,28.62,435.06,2.47,214.05,90.8,0.54
374,1935.08,970.48,1.86,1272.39,908.2339767,28.6,427.79,1.38,217.04,97.53,0.71
375,2057.58,928.17,0.41,1504.96,1003.344035,28.56,441.73,1.54,208.59,91.36,0.47
376,1923.64,972.83,86.74,1252.26,904.6133003,28.67,429.22,3.15,216.47,99.1,0.75
377,2166.67,913.79,7.38,1851.34,1255.667819,28.39,461.58,7.53,173.07,118.82,0.17
378,2235.13,811.35,0.19,1822.7,1092.099241,28.46,456.76,6.44,210.89,82.78,0.21
379,1985.81,961.79,1.51,1309.77,969.2948197,28.58,434.84,4.06,215.4,95.74,0.7
380,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
381,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
382,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
383,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
384,3128.83,32.32,50.64,2635.34,1022.297948,34.38,511.65,118.35,444.16,2044.88,0
385,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
386,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
387,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
388,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
389,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
390,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
391,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
392,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
393,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
394,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
395,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
396,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
397,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
398,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
399,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
400,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
401,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
402,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
403,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
404,3147.73,39.3,60.75,2565.54,1049.15931,36.32,514.48,0,0,0,0
405,1366.76,1405.42,3.68,1270.25,1039.051496,28.23,409.6,16.45,193.44,973.66,5.23
406,1696.08,1178.1,204.3,1303.61,1025.433454,28.21,402.73,21.55,108.81,1232.19,5.35
407,1616.81,1187.07,164.33,1385.18,1036.471964,28.23,409.36,14.54,228.43,842.36,6.07
408,1836.76,1032.7,49.49,2419.7,1251.590142,28.18,430.84,27.96,82.64,848.48,0.6
409,1973.58,930.18,700.85,1055.93,1062.709475,28.2,399.66,16.21,116.75,963.15,3.8
410,1430.38,1294.36,105.08,1345.12,932.4188996,28.23,399.12,11.76,234.46,779.27,6.3
411,2431.79,812.96,591.94,509.61,1186.089085,28.19,419.92,10.79,78.92,551.51,1.8
412,1372.16,1354.45,7.4,1414.25,936.9034917,28.22,402.05,11.62,207.95,902.2,4.17
413,1332.8,1393.29,75.57,1321.24,1096.081597,28.22,415.25,10.61,175.48,956.04,4.56
414,1238,1419.12,97.93,1440.27,1004.729265,28.21,398.72,16.22,180.97,819.04,4.07
415,1607.98,1211.21,363.95,1166.44,1115.397499,28.21,407.18,16.09,127,750.73,3.61
416,1460.39,1300.75,181.93,1130.8,1002.465822,28.22,410.12,12.09,199.66,799.22,5.75
417,1360.99,1496.11,0.3,988.81,1179.31633,28.19,419.2,17.39,86.08,875.77,2.57
418,1735.71,1219.27,119.18,1168.7,1083.105131,28.2,410.61,11.28,85.9,976.21,3.74
419,1377.81,1329.34,64.64,1454.96,933.8208897,28.23,403.06,15.93,222.28,945.98,5.72
420,1514.23,1244.64,259.72,1180.15,1014.135646,28.22,411.88,13.37,180.46,688.95,5.37
421,3380.86,1.15,0.14,1973.56,901.0376943,28.22,513.78,47.86,68.95,1200.47,7.68
422,3394.76,0.85,0.2,1946.74,943.2605882,28.26,515.54,33.82,67.86,1046.54,10.26
423,3340.35,0.58,0,2012.26,699.1226313,28.2,493.4,36.38,68.83,1309.95,2.04
424,3372.91,0.79,0.18,1955.55,898.7237322,28.24,512.1,45.69,68.78,1241.13,8.93
425,3373.52,1.11,0.1,1942.17,876.5862172,28.21,506.86,45.75,69.11,1145.46,3.99
426,3398.28,1.25,0.22,1933.76,923.8388562,28.27,511.19,32.07,67.66,1129.28,11.45
427,3400.02,1.17,0.19,1943.14,959.0590314,28.24,508.45,33.37,68.7,1048.13,9.96
428,3382.9,0.9,0.18,1972.36,930.0870987,28.23,516.99,45.46,68.97,1307.4,10.03
429,3422.91,1.04,0.18,1962.99,1034.825952,28.24,515.83,25.99,68.66,781.76,11.18
430,3382.09,1.03,0.19,1962.26,903.4902521,28.25,516.17,41.87,68.52,1161.76,10.28
431,3062.8,0.45,0.29,2867.08,585.5689392,29.07,525.63,0.89,3550.67,5725.83,17.72
432,3222.96,1.42,1.98,3001.02,798.8862798,29.85,594.51,7.77,2184,5988.12,140.53
433,3543.02,12.08,14.7,2901.17,747.8934603,29.85,636.88,42.23,452.35,1271.85,806.64
434,3201.21,0.31,0.27,2946.34,965.1152822,30,567.16,8.49,1941.8,7287.11,26.62
435,3052.79,0.19,0.25,2823.06,724.4226886,30.31,470.99,7.27,2974.79,4583.85,14.76
436,3148.7,0.22,0.3,2939.07,729.7043129,29.37,541.94,2.79,2726.44,5946.53,21.61
437,3197.88,0.24,0.32,3030.02,657.0592869,29.55,598.36,0.91,2680.35,5287.81,24.88
438,3105.4,0.23,0.3,2992.24,1016.943638,31.31,638.46,0.95,1915.21,8919.88,30.87
439,3257.15,1.08,0.24,3073.02,796.1745001,29.39,628.32,9.77,1867.11,5389.42,24.2
440,3221.67,0.31,0.23,3019.81,889.8638276,29.61,592.62,0.8,1961.78,6257.67,17.49
